,PM2.5_pred,PM2.5_real,PM10_pred,PM10_real,NO2_pred,NO2_real,CO_pred,CO_real,SO2_pred,SO2_real,O3_8h_pred,O3_8h_real
32,131.54915,124.00000000000001,144.54337,151.0,91.823715,92.0,2.8467083,3.0,50.7191,49.0,10.328503,11.0
33,53.499237,47.0,78.28025,75.0,36.055,41.0,0.8241677,0.8,4.4946675,5.0,67.59867,66.0
34,47.74668,45.0,71.48657,72.0,33.542286,34.0,0.5616232,0.6,2.5733805,2.0,212.49393,213.00000000000003
35,18.306414,22.0,79.814255,92.0,14.560809,9.0,0.23438123,0.3,2.1272027,3.0,99.0258,97.0
36,63.711468,59.0,107.94607,114.0,37.976162,38.0,0.65798724,0.8,4.4535985,3.0,195.41203,196.0
37,74.52797,67.0,158.44646,173.0,52.1751,55.0,0.8388791,0.7,14.984796,16.0,103.43546,100.0
38,117.1146,116.0,178.50081,180.0,62.31381,64.0,1.1317222,1.0,1.6986251,3.0,50.521046,48.00000000000001
39,443.52563,376.0,413.5517,415.0,137.73615,135.0,6.1957436,8.0,15.81358,8.0,-22.842495,6.000000000000001
40,66.78661,67.0,92.78303,88.00000000000001,48.084206,50.0,0.89591205,0.8,4.390636,5.0,89.99372,91.0
41,80.38225,103.0,82.17377,60.99999999999999,34.00292,30.0,1.0408397,1.0,-0.44916403,2.0,85.478035,88.99999999999999
42,175.96664,178.0,180.72229,177.0,95.794014,95.0,3.1531696,3.3,41.883507,39.0,22.8717,30.0
43,89.260124,91.0,132.21564,144.0,50.13526,47.0,0.95333946,0.9,2.7966006,4.0,96.72045,95.0
44,23.157051,20.0,53.241722,47.0,38.227844,40.0,0.4651138,0.4,2.9179437,3.0,35.91755,38.0
45,43.802574,29.0,70.56083,65.0,40.921825,45.0,0.7098073,0.7,4.8195157,6.0,34.28868,28.0
46,26.868288,25.0,68.46822,64.0,41.199944,43.0,0.5644766,0.6,11.484045,11.0,93.963295,92.0
47,91.56174,102.0,121.25506,126.0,78.53749,70.0,2.3926184,2.5,58.099648,59.0,16.897762,10.0
48,49.131958,39.0,83.38126,81.0,54.529366,61.0,0.82166314,0.7,4.797318,4.0,21.193373,18.0
49,78.67931,70.0,116.68085,124.0,33.76476,31.0,0.8120216,0.9,9.608023,11.0,265.4265,262.0
